feature,importance
cv_weight,0.28027388850777757
min_weight,0.23826998071645006
range_weight,0.14029471391067402
max_weight,0.0910689143353526
mean_weight,0.08293429959365559
sum_weight,0.05311105005169528
anchor_edge_sum,0.04828339470363152
median_weight,0.039261423923028
std_weight,0.02650233425773531
variance_weight,0.0
min2_weight,0.0
